B1,B2,B3,B4,B5,B6_VCID_2,B7,system:index,STATE,ELEV_IN_FT,POP_2010,id
42,39,38,50,43,201,34,640,NJ,577,18157,3581
30,26,23,44,30,196,20,641,NJ,220,11696,3582
38,33,31,34,31,201,26,642,NJ,39,63024,3595
43,40,37,42,43,202,34,643,NJ,200,11176,3597
38,32,30,34,30,199,24,644,NJ,30,13620,3598
42,37,34,35,34,199,29,645,NJ,7,50005,3599
35,29,26,40,30,197,21,646,NJ,30,247597,3600
35,29,26,50,35,202,22,647,NJ,105,40684,3601
38,34,32,41,36,200,28,648,NJ,59,10344,3610
36,30,28,36,29,196,20,649,NJ,20,124969,3613
30,26,24,52,39,193,24,650,PA,1204,28386,3631
25,22,15,95,47,195,17,651,PA,1142,27126,3632
35,29,26,42,28,199,19,652,NJ,92,13574,3633
32,27,25,53,35,200,21,653,NJ,98,13982,3636
32,28,26,37,30,197,21,654,PA,1178,13663,3668
29,25,21,69,43,200,21,655,NJ,20,30719,3673
29,24,20,53,37,200,20,656,NJ,59,12709,3679
37,32,31,34,32,202,25,657,NJ,20,16116,3684
38,32,29,40,30,199,21,658,NJ,167,12052,3687
36,31,28,50,34,202,23,659,NJ,10,10105,3690
38,37,38,54,53,203,42,660,OH,774,11216,3692
41,37,36,41,37,203,31,661,PA,358,16269,3703
43,39,40,62,48,205,33,662,PA,154,34324,3705
37,33,32,41,35,203,26,663,PA,302,10400,3713
35,29,27,40,29,195,20,664,PA,446,11545,3716
35,30,29,46,33,202,22,665,PA,361,13394,3717
33,27,26,33,26,195,21,666,PA,361,59322,3718
35,32,30,61,48,201,30,667,OH,794,13057,3759
42,38,36,42,52,205,43,668,OH,781,787033,3760
31,28,25,68,54,200,32,669,OH,814,33771,3762
31,28,25,60,40,200,23,670,OH,869,36120,3763
35,32,30,58,47,203,31,671,OH,791,18062,3764
43,42,42,57,52,202,37,672,OH,974,60608,3765
33,27,25,42,30,190,18,673,NJ,30,13926,3774
31,28,27,62,64,201,38,674,NJ,26,11456,3777
28,22,18,52,32,193,17,675,NJ,82,11593,3778
31,26,25,48,33,202,21,676,OH,886,38780,3781
30,26,25,59,41,202,25,677,OH,932,38101,3782
37,34,33,48,41,204,29,678,OH,1004,56163,3783
37,34,34,48,46,205,34,679,OH,991,15246,3786
31,26,24,35,27,201,20,680,OH,715,13143,3787
36,31,29,35,28,199,22,681,NJ,148,18579,3789
37,33,31,45,43,203,34,682,OH,935,25719,3790
46,42,41,43,46,203,38,683,NJ,7,39558,3798
35,30,29,38,31,200,25,684,NJ,95,14791,3800
32,27,25,32,27,203,20,685,OH,978,14192,3801
26,22,17,53,33,198,18,686,OH,594,42510,3802
36,30,29,28,29,201,24,687,OH,597,62477,3803
31,25,23,52,40,205,25,688,OH,656,48694,3804
34,29,28,37,31,205,25,689,OH,650,11869,3805
33,27,24,40,30,201,23,690,OH,600,12081,3809
26,21,16,62,37,199,17,691,OH,846,12114,3812
31,28,24,60,44,204,25,692,OH,627,296943,3814
29,25,21,68,40,202,20,693,OH,833,18720,3818
